"name","id","desc"
"arnF","b2258","undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit; K12963 undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnF"
"arnT","b2257","4-amino-4-deoxy-L-arabinose transferase; K07264 4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]"
"aroA","b0908","5-enolpyruvylshikimate-3-phosphate synthetase (EC:2.5.1.19); K00800 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"aroB","b3389","3-dehydroquinate synthase (EC:4.2.3.4); K01735 3-dehydroquinate synthase [EC:4.2.3.4]"
"aroC","b2329","chorismate synthase (EC:4.2.3.5); K01736 chorismate synthase [EC:4.2.3.5]"
"aroD","b1693","3-dehydroquinate dehydratase (EC:4.2.1.10); K03785 3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"aroE","b3281","dehydroshikimate reductase, NAD(P)-binding (EC:1.1.1.25); K00014 shikimate dehydrogenase [EC:1.1.1.25]"
"aroF","NA","NA"
"aroG","b0754","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible (EC:2.5.1.54); K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"aroH","b1704","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible (EC:2.5.1.54); K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"aroK","b3390","shikimate kinase I (EC:2.7.1.71); K00891 shikimate kinase [EC:2.7.1.71]"
"aroL","b0388","shikimate kinase II (EC:2.7.1.71); K00891 shikimate kinase [EC:2.7.1.71]"
"aroM","b0390","conserved protein, AroM family; K14591 protein AroM"
"aroP","b0112","aromatic amino acid transporter; K11734 aromatic amino acid transport protein AroP"
"arpA","b4017","ankyrin repeat protein; K06867"
"arpB","b4494","pseudogene"
"arrD","NA","NA"
"arrQ","NA","NA"
"arsB","b3502","arsenite/antimonite transporter; K03893 arsenical pump membrane protein"
"arsC","b3503","arsenate reductase (EC:1.20.4.1); K00537 arsenate reductase [EC:1.20.4.1]"
"arsR","b3501","DNA-binding transcriptional repressor; K03892 ArsR family transcriptional regulator"
"artI","b0863","arginine transporter subunit; K09997 arginine transport system substrate-binding protein"
"artJ","b0860","arginine binding protein, periplasmic; K09996 arginine transport system substrate-binding protein"
"artM","b0861","arginine transporter subunit; K09998 arginine transport system permease protein"
"artP","b0864","arginine transporter subunit; K10000 arginine transport system ATP-binding protein [EC:3.6.3.-]"
"artQ","b0862","arginine transporter subunit; K09999 arginine transport system permease protein"
"ascB","b2716","cryptic 6-phospho-beta-glucosidase (EC:3.2.1.86); K01223 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"ascF","b2715","fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component (EC:2.7.1.69); K02752 PTS system, arbutin-, cellobiose-, and salicin-specific IIB component [EC:2.7.1.69] K02753 PTS system, arbutin-, cellobiose-, and salicin-specific IIC component"
"ascG","b2714","DNA-binding transcriptional repressor; K03487 LacI family transcriptional regulator, asc operon repressor"
"asd","b3433","aspartate-semialdehyde dehydrogenase, NAD(P)-binding (EC:1.2.1.11); K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"aslA","b3801","acrylsulfatase-like enzyme (EC:3.1.6.1); K01130 arylsulfatase [EC:3.1.6.1]"
"aslB","b3800","predicted regulator of arylsulfatase activity; K06871 uncharacterized protein"
"asmA","b2064","predicted assembly protein; K07289 AsmA protein"
"asnA","NA","NA"
"asnB","b0674","asparagine synthetase B (EC:6.3.5.4); K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
"asnC","b3743","DNA-binding transcriptional dual regulator; K03718 Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"
"asnS","b0930","asparaginyl tRNA synthetase (EC:6.1.1.22); K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22]"
"asnT","b1977","tRNA-Asn; K14220 tRNA Asn"
"asnU","b1986","tRNA-Asn; K14220 tRNA Asn"
"asnV","b1989","tRNA-Asn; K14220 tRNA Asn"
"asnW","b1984","tRNA-Asn; K14220 tRNA Asn"
"aspA","b4139","aspartate ammonia-lyase (EC:4.3.1.1); K01744 aspartate ammonia-lyase [EC:4.3.1.1]"
"aspC","b0928","aspartate aminotransferase, PLP-dependent (EC:2.6.1.1); K00813 aspartate aminotransferase [EC:2.6.1.1]"
"aspS","b1866","aspartyl-tRNA synthetase (EC:6.1.1.12); K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]"
"aspT","b3760","tRNA-Asp; K14221 tRNA Asp"
"aspU","b0206","tRNA-Asp; K14221 tRNA Asp"
"aspV","b0216","tRNA-Asp; K14221 tRNA Asp"
"asr","b1597","acid shock-inducible periplasmic protein"
"astA","b1747","arginine succinyltransferase (EC:2.3.1.109); K00673 arginine N-succinyltransferase [EC:2.3.1.109]"
"astB","b1745","succinylarginine dihydrolase (EC:3.5.3.-); K01484 succinylarginine dihydrolase [EC:3.5.3.23]"
"astC","b1748","succinylornithine transaminase, PLP-dependent (EC:2.6.1.11 2.6.1.17); K00840 succinylornithine aminotransferase [EC:2.6.1.81]"
"astD","b1746","succinylglutamic semialdehyde dehydrogenase (EC:1.2.1.-); K06447 succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]"
"astE","b1744","succinylglutamate desuccinylase (EC:3.5.1.-); K05526 succinylglutamate desuccinylase [EC:3.5.1.96]"
"atoA","b2222","acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC:2.8.3.8); K01035 acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]"
"atoB","b2224","acetyl-CoA acetyltransferase (EC:2.3.1.9); K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"atoC","b2220","fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein; K07714 two-component system, NtrC family, response regulator AtoC"
"atoD","b2221","acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC:2.8.3.8); K01034 acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]"
"atoE","b2223","short chain fatty acid transporter; K02106 short-chain fatty acids transporter"
"atoS","b2219","sensory histidine kinase in two-component regulatory system with AtoC; K07710 two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]"
"atpA","b3734","F1 sector of membrane-bound ATP synthase, alpha subunit (EC:3.6.3.14); K02111 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"
"atpB","b3738","F0 sector of membrane-bound ATP synthase, subunit a (EC:3.6.3.14); K02108 F-type H+-transporting ATPase subunit a"
"atpC","b3731","F1 sector of membrane-bound ATP synthase, epsilon subunit (EC:3.6.3.14); K02114 F-type H+-transporting ATPase subunit epsilon"
"atpD","b3732","F1 sector of membrane-bound ATP synthase, beta subunit (EC:3.6.3.14); K02112 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"
"atpE","b3737","F0 sector of membrane-bound ATP synthase, subunit c (EC:3.6.3.14); K02110 F-type H+-transporting ATPase subunit c"
"atpF","b3736","F0 sector of membrane-bound ATP synthase, subunit b (EC:3.6.3.14); K02109 F-type H+-transporting ATPase subunit b"
"atpG","b3733","F1 sector of membrane-bound ATP synthase, gamma subunit (EC:3.6.3.14); K02115 F-type H+-transporting ATPase subunit gamma"
"atpH","b3735","F1 sector of membrane-bound ATP synthase, delta subunit (EC:3.6.3.14); K02113 F-type H+-transporting ATPase subunit delta"
"atpI","b3739","ATP synthase, membrane-bound accessory factor (EC:3.6.3.14); K02116 ATP synthase protein I"
"avtA","b3572","valine-pyruvate aminotransferase 1 (EC:2.6.1.66); K00835 valine--pyruvate aminotransferase [EC:2.6.1.66]"
"azoR","b1412","NADH-azoreductase, FMN-dependent (EC:3.1.4.14); K01118 FMN-dependent NADH-azoreductase [EC:1.7.-.-]"
"azuC","b4663","expressed protein"
"bacA","b3057","undecaprenyl pyrophosphate phosphatase (EC:3.6.1.27); K06153 undecaprenyl-diphosphatase [EC:3.6.1.27]"
"baeR","b2079","DNA-binding response regulator in two-component regulatory system with BaeS; K07664 two-component system, OmpR family, response regulator BaeR"
"baeS","b2078","sensory histidine kinase in two-component regulatory system with BaeR; K07642 two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"
"bamA","b0177","outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex; K07277 outer membrane protein insertion porin family"
"bamB","b2512","lipoprotein required for OM biogenesis, in BamABCDE complex; K17713 outer membrane protein assembly factor BamB"
"bamC","b2477","lipoprotein required for OM biogenesis, in BamABCDE complex; K07287 outer membrane protein assembly factor BamC"
"bamD","b2595","lipoprotein required for OM biogenesis, in BamABCDE complex; K05807 outer membrane protein assembly factor BamD"
"bamE","b2617","lipoprotein component of BamABCDE OM biogenesis complex; K06186 outer membrane protein assembly factor BamE"
"barA","b2786","hybrid sensory histidine kinase, in two-component regulatory system with UvrY; K07678 two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
"basR","b4113","DNA-binding response regulator in two-component regulatory system with BasS; K07771 two-component system, OmpR family, response regulator BasR"
"basS","b4112","sensory histidine kinase in two-component regulatory system with BasR; K07643 two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]"
"bax","b3570","conserved protein; K03796 Bax protein"
"bcp","b2480","peroxiredoxin; thiol peroxidase, thioredoxin-dependent (EC:1.11.1.- 1.11.1.7); K03564 peroxiredoxin Q/BCP [EC:1.11.1.15]"
"bcr","b2182","bicyclomycin/cysteine/sulfonamide efflux transporter; K07552 MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein"
