"Name","cluster","gene_description"
"agaD","yellow","N-acetylgalactosamine-specific enzyme IID component of PTS (EC:2.7.1.69)  K10986 PTS system  galactosamine-specific IID component"
"agaR","turquoise","DNA-binding transcriptional repressor of the aga regulon  K02081 DeoR family transcriptional regulator  aga operon transcriptional repressor"
"agaS","blue","tagatose-6-phosphate ketose/aldose isomerase  K02082 tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]"
"agaV","blue","N-acetylgalactosamine-specific enzyme IIB component of PTS (EC:2.7.1.69)  K02745 PTS system  N-acetylgalactosamine-specific IIB component [EC:2.7.1.69]"
"agaW","blue","pseudogene"
"ahpC","yellow","alkyl hydroperoxide reductase  C22 subunit (EC:1.11.1.15)  K03386 peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
"ahpF","brown","alkyl hydroperoxide reductase  F52a subunit  FAD/NAD(P)-binding (EC:1.11.1.15)  K03387 alkyl hydroperoxide reductase subunit F [EC:1.6.4.-]"
"alaA","turquoise","valine-pyruvate aminotransferase 2  K14260 alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"
"alaW","blue","tRNA-Ala  K14218 tRNA Ala"
"alaX","blue","tRNA-Ala  K14218 tRNA Ala"
"aldA","turquoise","aldehyde dehydrogenase A  NAD-linked (EC:1.2.1.22)  K07248 lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]"
"aldB","turquoise","aldehyde dehydrogenase B (EC:1.2.1.22)  K00138 aldehyde dehydrogenase [EC:1.2.1.-]"
"alkB","turquoise","oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions  K03919 alkylated DNA repair protein (DNA oxidative demethylase) [EC:1.14.11.33]"
"allA","turquoise","ureidoglycolate hydrolase (EC:3.5.3.19)  K01483 ureidoglycolate hydrolase [EC:3.5.3.19]"
"allB","blue","allantoinase (EC:3.5.2.5)  K01466 allantoinase [EC:3.5.2.5]"
"allC","blue","allantoate amidohydrolase (EC:3.5.3.4)  K02083 allantoate deiminase [EC:3.5.3.9]"
"allR","turquoise","DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons  glyoxylate-induced  K10973 IclR family transcriptional regulator  negative regulator of allantoin and glyoxylate utilization operons"
"allR","turquoise","DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons  glyoxylate-induced  K10973 IclR family transcriptional regulator  negative regulator of allantoin and glyoxylate utilization operons"
"allS","blue","DNA-binding transcriptional activator of the allD operon  K10972 LysR family transcriptional regulator  transcriptional activator of the allD operon"
"allS","blue","DNA-binding transcriptional activator of the allD operon  K10972 LysR family transcriptional regulator  transcriptional activator of the allD operon"
"alpA","blue","CP4-57 prophage  DNA-binding transcriptional activator  K07733 prophage regulatory protein"
"alsA","blue","fused D-allose transporter subunits of ABC superfamily: ATP-binding components  K10551 D-allose transport system ATP-binding protein [EC:3.6.3.17]"
"alsB","blue","D-allose transporter subunit  K10549 D-allose transport system substrate-binding protein"
"alsC","pink","D-allose transporter subunit  K10550 D-allose transport system permease protein"
"alsE","yellow","allulose-6-phosphate 3-epimerase  K17195 D-allulose-6-phosphate 3-epimerase [EC:5.1.3.-]"
"alsK","turquoise","D-allose kinase (EC:2.7.1.55)  K00881 allose kinase [EC:2.7.1.55]"
"amiA","blue","N-acetylmuramoyl-l-alanine amidase I (EC:3.5.1.28)  K01448 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"amn","blue","AMP nucleosidase (EC:3.2.2.4)  K01241 AMP nucleosidase [EC:3.2.2.4]"
"ampD","green","1 6-anhydro-N-acetylmuramyl-L-alanine amidase  Zn-dependent  murein amidase (EC:3.5.1.28)  K03806 AmpD protein"
"ampE","green","predicted inner membrane protein  K03807 AmpE protein"
"ampG","brown","muropeptide transporter  K08218 MFS transporter  PAT family  beta-lactamase induction signal transducer AmpG"
"ampH","blue","D-alanyl-D-alanine-carboxypeptidase/endopeptidase  penicillin-binding protein  weak beta-lactamase (EC:3.4.17.8 3.5.2.6)"
"amyA","blue","cytoplasmic alpha-amylase (EC:3.2.1.1)  K01176 alpha-amylase [EC:3.2.1.1]"
"anmK","turquoise","anhydro-N-acetylmuramic acid kinase  K09001 anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"anmK","turquoise","anhydro-N-acetylmuramic acid kinase  K09001 anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"ansB","yellow","periplasmic L-asparaginase II (EC:3.5.1.1)  K01424 L-asparaginase [EC:3.5.1.1]"
"apaG","turquoise","protein associated with Co2+ and Mg2+ efflux  K06195 ApaG protein"
"apaH","turquoise","diadenosine tetraphosphatase (EC:3.6.1.41)  K01525 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]"
"apaH","turquoise","diadenosine tetraphosphatase (EC:3.6.1.41)  K01525 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]"
"apaH","turquoise","diadenosine tetraphosphatase (EC:3.6.1.41)  K01525 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]"
"apbE","grey","putative flavin transferase  lipoprotein required for thiamine synthesis  K03734 thiamine biosynthesis lipoprotein"
"aphA","turquoise","acid phosphatase/phosphotransferase  class B  non-specific (EC:3.1.3.2)  K03788 acid phosphatase (class B) [EC:3.1.3.2]"
"appA","brown","phosphoanhydride phosphorylase (EC:3.1.3.2 3.1.3.26)  K01093 4-phytase / acid phosphatase [EC:3.1.3.26 3.1.3.2]"
"appB","brown","cytochrome bd-II oxidase  subunit II (EC:1.10.3.-)  K00426 cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]"
"appC","brown","cytochrome bd-II oxidase  subunit I (EC:1.10.3.-)  K00425 cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]"
"appC","brown","cytochrome bd-II oxidase  subunit I (EC:1.10.3.-)  K00425 cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]"
"appY","blue","DNA-binding global transcriptional activator  DLP12 prophage  K07780 AraC family transcriptional regulator  transcriptional regulator required for anaerobic and stationary phase induction of genes"
"aqpZ","turquoise","aquaporin Z  K06188 aquaporin Z"
"araA","turquoise","L-arabinose isomerase (EC:5.3.1.4)  K01804 L-arabinose isomerase [EC:5.3.1.4]"
"araA","turquoise","L-arabinose isomerase (EC:5.3.1.4)  K01804 L-arabinose isomerase [EC:5.3.1.4]"
"araC","green","DNA-binding transcriptional dual regulator  K02099 AraC family transcriptional regulator  arabinose operon regulatory protein"
"araD","blue","L-ribulose-5-phosphate 4-epimerase (EC:5.1.3.4)  K01786 L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
"araE","turquoise","arabinose transporter  K02100 MFS transporter  SP family  arabinose:H+ symporter"
"araF","turquoise","L-arabinose transporter subunit  K10537 L-arabinose transport system substrate-binding protein"
"araH","turquoise","fused L-arabinose transporter subunits of ABC superfamily: membrane components  K10538 L-arabinose transport system permease protein"
"araJ","turquoise","arabinose-inducible predicted transporter  MFS family  K08156 MFS transporter  DHA1 family  arabinose polymer transporter"
"arcB","yellow","aerobic respiration control sensor histidine protein kinase  cognate to two-component response regulators ArcA and RssB  K07648 two-component system  OmpR family  aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
"arcB","yellow","aerobic respiration control sensor histidine protein kinase  cognate to two-component response regulators ArcA and RssB  K07648 two-component system  OmpR family  aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]"
"arcZ","green","sRNA positive antisense regulator of rpoS  binds Hfq"
"argA","turquoise","fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase (EC:2.3.1.1)  K14682 amino-acid N-acetyltransferase [EC:2.3.1.1]"
"argB","blue","acetylglutamate kinase (EC:2.7.2.8)  K00930 acetylglutamate kinase [EC:2.7.2.8]"
"argC","brown","N-acetyl-gamma-glutamylphosphate reductase  NAD(P)-binding (EC:1.2.1.38)  K00145 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"argD","blue","bifunctional acetylornithine aminotransferase/succinyldiaminopimelate aminotransferase (EC:2.6.1.11 2.6.1.17)  K00821 acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"
"argF","turquoise","ornithine carbamoyltransferase 2  chain F  CP4-6 prophage (EC:2.1.3.3)  K00611 ornithine carbamoyltransferase [EC:2.1.3.3]"
"argF","turquoise","ornithine carbamoyltransferase 2  chain F  CP4-6 prophage (EC:2.1.3.3)  K00611 ornithine carbamoyltransferase [EC:2.1.3.3]"
"argG","brown","argininosuccinate synthetase (EC:6.3.4.5)  K01940 argininosuccinate synthase [EC:6.3.4.5]"
"argH","yellow","argininosuccinate lyase (EC:4.3.2.1)  K01755 argininosuccinate lyase [EC:4.3.2.1]"
"argK","blue","membrane ATPase/protein kinase  K07588 LAO/AO transport system kinase [EC:2.7.-.-]"
"argP","turquoise","DNA-binding transcriptional activator  replication initiation inhibitor  K05596 LysR family transcriptional regulator  chromosome initiation inhibitor"
"argQ","turquoise","tRNA-Arg  K14219 tRNA Arg"
"argR","red","DNA-binding transcriptional dual regulator  L-arginine-binding  K03402 transcriptional regulator of arginine metabolism"
"argS","yellow","arginyl-tRNA synthetase (EC:6.1.1.19)  K01887 arginyl-tRNA synthetase [EC:6.1.1.19]"
"argT","turquoise","lysine/arginine/ornithine transporter subunit  K10013 lysine/arginine/ornithine transport system substrate-binding protein"
"argU","turquoise","tRNA-Arg  K14219 tRNA Arg"
"argV","turquoise","tRNA-Arg  K14219 tRNA Arg"
"argW","brown","tRNA-Arg  K14219 tRNA Arg"
"argX","blue","tRNA-Arg  K14219 tRNA Arg"
"argY","turquoise","tRNA-Arg  K14219 tRNA Arg"
"argZ","turquoise","tRNA-Arg  K14219 tRNA Arg"
"ariR","turquoise","RcsB connector protein for regulation of biofilm and acid-resistance"
"arnA","turquoise","fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase (EC:2.1.2.- 4.1.1.35)  K10011 UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
"arnA","turquoise","fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase (EC:2.1.2.- 4.1.1.35)  K10011 UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
"arnB","turquoise","uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase  PLP-dependent  K07806 UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]"
"arnC","green","undecaprenyl phosphate-L-Ara4FN transferase  K10012 undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
"arnC","green","undecaprenyl phosphate-L-Ara4FN transferase  K10012 undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
"arnD","turquoise","undecaprenyl phosphate-alpha-L-ara4FN deformylase  K13014 undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.-.-]"
"arnF","turquoise","undecaprenyl phosphate-alpha-L-ara4N exporter  flippase ArnEF subunit  K12963 undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnF"
"arnT","brown","4-amino-4-deoxy-L-arabinose transferase  K07264 4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]"
"aroA","pink","5-enolpyruvylshikimate-3-phosphate synthetase (EC:2.5.1.19)  K00800 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]"
"aroB","brown","3-dehydroquinate synthase (EC:4.2.3.4)  K01735 3-dehydroquinate synthase [EC:4.2.3.4]"
"aroC","blue","chorismate synthase (EC:4.2.3.5)  K01736 chorismate synthase [EC:4.2.3.5]"
"aroD","blue","3-dehydroquinate dehydratase (EC:4.2.1.10)  K03785 3-dehydroquinate dehydratase I [EC:4.2.1.10]"
"aroE","turquoise","dehydroshikimate reductase  NAD(P)-binding (EC:1.1.1.25)  K00014 shikimate dehydrogenase [EC:1.1.1.25]"
"aroG","yellow","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase  phenylalanine repressible (EC:2.5.1.54)  K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"aroH","turquoise","3-deoxy-D-arabino-heptulosonate-7-phosphate synthase  tryptophan repressible (EC:2.5.1.54)  K01626 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
"aroK","brown","shikimate kinase I (EC:2.7.1.71)  K00891 shikimate kinase [EC:2.7.1.71]"
"aroL","turquoise","shikimate kinase II (EC:2.7.1.71)  K00891 shikimate kinase [EC:2.7.1.71]"
"aroP","turquoise","aromatic amino acid transporter  K11734 aromatic amino acid transport protein AroP"
"aroP","turquoise","aromatic amino acid transporter  K11734 aromatic amino acid transport protein AroP"
"arpA","red","ankyrin repeat protein  K06867"
"arpB","green","pseudogene"
"arsB","turquoise","arsenite/antimonite transporter  K03893 arsenical pump membrane protein"
"arsR","turquoise","DNA-binding transcriptional repressor  K03892 ArsR family transcriptional regulator"
"artJ","grey","arginine binding protein  periplasmic  K09996 arginine transport system substrate-binding protein"
"artJ","grey","arginine binding protein  periplasmic  K09996 arginine transport system substrate-binding protein"
"artM","red","arginine transporter subunit  K09998 arginine transport system permease protein"
"artP","brown","arginine transporter subunit  K10000 arginine transport system ATP-binding protein [EC:3.6.3.-]"
"artQ","turquoise","arginine transporter subunit  K09999 arginine transport system permease protein"
"ascB","turquoise","cryptic 6-phospho-beta-glucosidase (EC:3.2.1.86)  K01223 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"ascF","blue","fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component (EC:2.7.1.69)  K02752 PTS system  arbutin-  cellobiose-  and salicin-specific IIB component [EC:2.7.1.69] K02753 PTS system  arbutin-  cellobiose-  and salicin-specific IIC component"
"ascG","pink","DNA-binding transcriptional repressor  K03487 LacI family transcriptional regulator  asc operon repressor"
"aslA","turquoise","acrylsulfatase-like enzyme (EC:3.1.6.1)  K01130 arylsulfatase [EC:3.1.6.1]"
"aslB","blue","predicted regulator of arylsulfatase activity  K06871 uncharacterized protein"
"asmA","blue","predicted assembly protein  K07289 AsmA protein"
"asnB","grey","asparagine synthetase B (EC:6.3.5.4)  K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
"asnB","grey","asparagine synthetase B (EC:6.3.5.4)  K01953 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
"asnC","turquoise","DNA-binding transcriptional dual regulator  K03718 Lrp/AsnC family transcriptional regulator  regulator for asnA  asnC and gidA"
"asnS","yellow","asparaginyl tRNA synthetase (EC:6.1.1.22)  K01893 asparaginyl-tRNA synthetase [EC:6.1.1.22]"
"asnT","red","tRNA-Asn  K14220 tRNA Asn"
"asnU","blue","tRNA-Asn  K14220 tRNA Asn"
"asnV","turquoise","tRNA-Asn  K14220 tRNA Asn"
"asnW","brown","tRNA-Asn  K14220 tRNA Asn"
"aspC","brown","aspartate aminotransferase  PLP-dependent (EC:2.6.1.1)  K00813 aspartate aminotransferase [EC:2.6.1.1]"
"aspS","brown","aspartyl-tRNA synthetase (EC:6.1.1.12)  K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]"
"aspT","blue","tRNA-Asp  K14221 tRNA Asp"
"aspU","grey","tRNA-Asp  K14221 tRNA Asp"
"aspV","yellow","tRNA-Asp  K14221 tRNA Asp"
"asr","turquoise","acid shock-inducible periplasmic protein"
"astA","green","arginine succinyltransferase (EC:2.3.1.109)  K00673 arginine N-succinyltransferase [EC:2.3.1.109]"
"astB","blue","succinylarginine dihydrolase (EC:3.5.3.-)  K01484 succinylarginine dihydrolase [EC:3.5.3.23]"
"astC","black","succinylornithine transaminase  PLP-dependent (EC:2.6.1.11 2.6.1.17)  K00840 succinylornithine aminotransferase [EC:2.6.1.81]"
"astD","blue","succinylglutamic semialdehyde dehydrogenase (EC:1.2.1.-)  K06447 succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]"
"astE","brown","succinylglutamate desuccinylase (EC:3.5.1.-)  K05526 succinylglutamate desuccinylase [EC:3.5.1.96]"
"atoA","turquoise","acetyl-CoA:acetoacetyl-CoA transferase  beta subunit (EC:2.8.3.8)  K01035 acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]"
"atoB","green","acetyl-CoA acetyltransferase (EC:2.3.1.9)  K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
"atoD","green","acetyl-CoA:acetoacetyl-CoA transferase  alpha subunit (EC:2.8.3.8)  K01034 acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]"
"atoE","turquoise","short chain fatty acid transporter  K02106 short-chain fatty acids transporter"
"atoS","green","sensory histidine kinase in two-component regulatory system with AtoC  K07710 two-component system  NtrC family  sensor histidine kinase AtoS [EC:2.7.13.3]"
"atpB","brown","F0 sector of membrane-bound ATP synthase  subunit a (EC:3.6.3.14)  K02108 F-type H+-transporting ATPase subunit a [EC:3.6.3.14]"
"atpC","turquoise","F1 sector of membrane-bound ATP synthase  epsilon subunit (EC:3.6.3.14)  K02114 F-type H+-transporting ATPase subunit epsilon [EC:3.6.3.14]"
"atpD","turquoise","F1 sector of membrane-bound ATP synthase  beta subunit (EC:3.6.3.14)  K02112 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"
"atpE","blue","F0 sector of membrane-bound ATP synthase  subunit c (EC:3.6.3.14)  K02110 F-type H+-transporting ATPase subunit c [EC:3.6.3.14]"
"atpF","brown","F0 sector of membrane-bound ATP synthase  subunit b (EC:3.6.3.14)  K02109 F-type H+-transporting ATPase subunit b [EC:3.6.3.14]"
"atpG","turquoise","F1 sector of membrane-bound ATP synthase  gamma subunit (EC:3.6.3.14)  K02115 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14]"
"atpH","yellow","F1 sector of membrane-bound ATP synthase  delta subunit (EC:3.6.3.14)  K02113 F-type H+-transporting ATPase subunit delta [EC:3.6.3.14]"
"atpI","blue","ATP synthase  membrane-bound accessory factor (EC:3.6.3.14)  K02116 ATP synthase protein I"
"avtA","red","valine-pyruvate aminotransferase 1 (EC:2.6.1.66)  K00835 valine--pyruvate aminotransferase [EC:2.6.1.66]"
"azoR","turquoise","NADH-azoreductase  FMN-dependent (EC:3.1.4.14)  K01118 FMN-dependent NADH-azoreductase [EC:1.7.-.-]"
"azuC","turquoise","expressed protein"
"bacA","turquoise","undecaprenyl pyrophosphate phosphatase (EC:3.6.1.27)  K06153 undecaprenyl-diphosphatase [EC:3.6.1.27]"
"baeS","blue","sensory histidine kinase in two-component regulatory system with BaeR  K07642 two-component system  OmpR family  sensor histidine kinase BaeS [EC:2.7.13.3]"
"baeS","blue","sensory histidine kinase in two-component regulatory system with BaeR  K07642 two-component system  OmpR family  sensor histidine kinase BaeS [EC:2.7.13.3]"
"bamA","brown","outer membrane protein assembly factor  forms pores  required for OM biogenesis  in BamABCDE OM protein complex  K07277 outer membrane protein insertion porin family"
"bamB","red","lipoprotein required for OM biogenesis  in BamABCDE complex  K17713 outer membrane protein assembly factor BamB"
"bamC","turquoise","lipoprotein required for OM biogenesis  in BamABCDE complex  K07287 outer membrane protein assembly factor BamC"
"bamD","grey","lipoprotein required for OM biogenesis  in BamABCDE complex  K05807 outer membrane protein assembly factor BamD"
"bamE","red","lipoprotein component of BamABCDE OM biogenesis complex  K06186 outer membrane protein assembly factor BamE"
"basS","brown","sensory histidine kinase in two-component regulatory system with BasR  K07643 two-component system  OmpR family  sensor histidine kinase BasS [EC:2.7.13.3]"
"bax","turquoise","conserved protein  K03796 Bax protein"
"bcp","blue","peroxiredoxin  thiol peroxidase  thioredoxin-dependent (EC:1.11.1.- 1.11.1.7)  K03564 peroxiredoxin Q/BCP [EC:1.11.1.15]"
"bcr","turquoise","bicyclomycin/cysteine/sulfonamide efflux transporter  K07552 MFS transporter  DHA1 family  bicyclomycin/chloramphenicol resistance protein"
"bcsA","turquoise","cellulose synthase  catalytic subunit (EC:2.4.1.12)  K00694 cellulose synthase (UDP-forming) [EC:2.4.1.12]"
"bcsB","yellow","regulator of cellulose synthase  cyclic di-GMP binding"
"bcsC","brown","cellulose synthase subunit"
"bcsE","turquoise","cellulose production protein"
"bcsF","turquoise","predicted protein"
"bcsG","turquoise","inner membrane protein  predicted endoglucanase  DUF3260 family"
"bcsQ","brown","pseudogene"
"bcsZ","turquoise","endo-1 4-D-glucanase (EC:3.2.1.4)  K01179 endoglucanase [EC:3.2.1.4]"
"beeE","turquoise","pseudogene"
"betB","blue","betaine aldehyde dehydrogenase  NAD-dependent (EC:1.2.1.8)  K00130 betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"betI","blue","DNA-binding transcriptional repressor  K02167 TetR/AcrR family transcriptional regulator  transcriptional repressor of bet genes"
"betI","blue","DNA-binding transcriptional repressor  K02167 TetR/AcrR family transcriptional regulator  transcriptional repressor of bet genes"
"betI","blue","DNA-binding transcriptional repressor  K02167 TetR/AcrR family transcriptional regulator  transcriptional repressor of bet genes"
"betT","turquoise","choline transporter of high affinity  K02168 choline/glycine/proline betaine transport protein"
"bfr","green","bacterioferritin  iron storage and detoxification protein  K03594 bacterioferritin"
"bglA","turquoise","6-phospho-beta-glucosidase A (EC:3.2.1.86)  K01223 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"bglB","turquoise","cryptic phospho-beta-glucosidase B (EC:3.2.1.86)  K01223 6-phospho-beta-glucosidase [EC:3.2.1.86]"
"bglF","turquoise","fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component (EC:2.7.1.69)  K02755 PTS system  beta-glucosides-specific IIA component [EC:2.7.1.69] K02756 PTS system  beta-glucosides-specific IIB component [EC:2.7.1.69] K02757 PTS system  beta-glucosides-specific IIC component"
"bglG","turquoise","transcriptional antiterminator of the bgl operon  K03488 beta-glucoside operon transcriptional antiterminator"
"bglH","grey","carbohydrate-specific outer membrane porin  cryptic  K10124 carbohydrate-specific outer membrane porin"
"bglJ","yellow","bgl operon transcriptional activator"
