eco_id gene gene_description
eco:b2470 acrD aminoglycoside/multidrug_efflux_system;_K03296_hydrophobic/amphiphilic_exporter-1_(mainly_G-_bacteria),_HAE1_family
eco:b3265 acrE cytoplasmic_membrane_lipoprotein;_K03585_membrane_fusion_protein
eco:b3266 acrF multidrug_efflux_system_protein;_K03296_hydrophobic/amphiphilic_exporter-1_(mainly_G-_bacteria),_HAE1_family
eco:b0762 acrZ AcrAB-TolC_efflux_pump_accessory_protein,_membrane-associated
eco:b4067 actP acetate_transporter;_K14393_cation/acetate_symporter
eco:b1478 adhP ethanol-active_dehydrogenase/acetaldehyde-active_reductase_(EC:1.1.1.1);_K13953_alcohol_dehydrogenase,_propanol-preferring_[EC:1.1.1.1]
eco:b4116 adiY DNA-binding_transcriptional_activator;_K03755_AraC_family_transcriptional_regulator,_transcriptional_activator_of_adiA
eco:b4116 adiY DNA-binding_transcriptional_activator;_K03755_AraC_family_transcriptional_regulator,_transcriptional_activator_of_adiA
eco:b2468 aegA fused_predicted_oxidoreductase:_FeS_binding_subunit/NAD/FAD-binding_subunit
eco:b0476 aes acetyl_esterase_(EC:3.1.1.-);_K01066_esterase_/_lipase_[EC:3.1.1.-]
eco:b0476 aes acetyl_esterase_(EC:3.1.1.-);_K01066_esterase_/_lipase_[EC:3.1.1.-]
eco:b0263 afuB pseudogene
eco:b0262 afuC CP4-6_prophage;_predicted_ferric_transporter_subunit;_K02010_iron(III)_transport_system_ATP-binding_protein_[EC:3.6.3.30]
eco:b3135 agaA pseudogene
eco:b3138 agaB N-acetylgalactosamine-specific_enzyme_IIB_component_of_PTS_(EC:2.7.1.69);_K10984_PTS_system,_galactosamine-specific_IIB_component_[EC:2.7.1.69]
eco:b3139 agaC N-acetylgalactosamine-specific_enzyme_IIC_component_of_PTS_(EC:2.7.1.69);_K10985_PTS_system,_galactosamine-specific_IIC_component
eco:b3140 agaD N-acetylgalactosamine-specific_enzyme_IID_component_of_PTS_(EC:2.7.1.69);_K10986_PTS_system,_galactosamine-specific_IID_component
eco:b3131 agaR DNA-binding_transcriptional_repressor_of_the_aga_regulon;_K02081_DeoR_family_transcriptional_regulator,_aga_operon_transcriptional_repressor
eco:b3136 agaS tagatose-6-phosphate_ketose/aldose_isomerase;_K02082_tagatose-6-phosphate_ketose/aldose_isomerase_[EC:5.-.-.-]
eco:b3133 agaV N-acetylgalactosamine-specific_enzyme_IIB_component_of_PTS_(EC:2.7.1.69);_K02745_PTS_system,_N-acetylgalactosamine-specific_IIB_component_[EC:2.7.1.69]
eco:b3134 agaW pseudogene
eco:b0605 ahpC alkyl_hydroperoxide_reductase,_C22_subunit_(EC:1.11.1.15);_K03386_peroxiredoxin_(alkyl_hydroperoxide_reductase_subunit_C)_[EC:1.11.1.15]
eco:b0606 ahpF alkyl_hydroperoxide_reductase,_F52a_subunit,_FAD/NAD(P)-binding_(EC:1.11.1.15);_K03387_alkyl_hydroperoxide_reductase_subunit_F_[EC:1.6.4.-]
eco:b2290 alaA valine-pyruvate_aminotransferase_2;_K14260_alanine-synthesizing_transaminase_[EC:2.6.1.66_2.6.1.2]
eco:b3276 alaU tRNA-Ala;_K14218_tRNA_Ala
eco:b0203 alaV tRNA-Ala;_K14218_tRNA_Ala
eco:b2397 alaW tRNA-Ala;_K14218_tRNA_Ala
eco:b2396 alaX tRNA-Ala;_K14218_tRNA_Ala
eco:b1415 aldA aldehyde_dehydrogenase_A,_NAD-linked_(EC:1.2.1.22);_K07248_lactaldehyde_dehydrogenase_/_glycolaldehyde_dehydrogenase_[EC:1.2.1.22_1.2.1.21]
eco:b3588 aldB aldehyde_dehydrogenase_B_(EC:1.2.1.22);_K00138_aldehyde_dehydrogenase_[EC:1.2.1.-]
eco:b2212 alkB oxidative_demethylase_of_N1-methyladenine_or_N3-methylcytosine_DNA_lesions;_K03919_alkylated_DNA_repair_protein_(DNA_oxidative_demethylase)_[EC:1.14.11.33]
eco:b0505 allA ureidoglycolate_hydrolase_(EC:3.5.3.19);_K01483_ureidoglycolate_hydrolase_[EC:3.5.3.19]
eco:b0512 allB allantoinase_(EC:3.5.2.5);_K01466_allantoinase_[EC:3.5.2.5]
eco:b0516 allC allantoate_amidohydrolase_(EC:3.5.3.4);_K02083_allantoate_deiminase_[EC:3.5.3.9]
eco:b0506 allR DNA-binding_transcriptional_repressor_for_all_(allantoin)_and_gcl_(glyoxylate)_operons;_glyoxylate-induced;_K10973_IclR_family_transcriptional_regulator,_negative_regulator_of_allantoin_and_glyoxylate_utilization_operons
eco:b0506 allR DNA-binding_transcriptional_repressor_for_all_(allantoin)_and_gcl_(glyoxylate)_operons;_glyoxylate-induced;_K10973_IclR_family_transcriptional_regulator,_negative_regulator_of_allantoin_and_glyoxylate_utilization_operons
eco:b0504 allS DNA-binding_transcriptional_activator_of_the_allD_operon;_K10972_LysR_family_transcriptional_regulator,_transcriptional_activator_of_the_allD_operon
eco:b0504 allS DNA-binding_transcriptional_activator_of_the_allD_operon;_K10972_LysR_family_transcriptional_regulator,_transcriptional_activator_of_the_allD_operon
eco:b2624 alpA CP4-57_prophage;_DNA-binding_transcriptional_activator;_K07733_prophage_regulatory_protein
eco:b4087 alsA fused_D-allose_transporter_subunits_of_ABC_superfamily:_ATP-binding_components;_K10551_D-allose_transport_system_ATP-binding_protein_[EC:3.6.3.17]
eco:b4088 alsB D-allose_transporter_subunit;_K10549_D-allose_transport_system_substrate-binding_protein
eco:b4086 alsC D-allose_transporter_subunit;_K10550_D-allose_transport_system_permease_protein
eco:b4085 alsE allulose-6-phosphate_3-epimerase;_K17195_D-allulose-6-phosphate_3-epimerase_[EC:5.1.3.-]
eco:b4084 alsK D-allose_kinase_(EC:2.7.1.55);_K00881_allose_kinase_[EC:2.7.1.55]
eco:b2435 amiA N-acetylmuramoyl-l-alanine_amidase_I_(EC:3.5.1.28);_K01448_N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
eco:b1982 amn AMP_nucleosidase_(EC:3.2.2.4);_K01241_AMP_nucleosidase_[EC:3.2.2.4]
eco:b0110 ampD 1,6-anhydro-N-acetylmuramyl-L-alanine_amidase,_Zn-dependent;_murein_amidase_(EC:3.5.1.28);_K03806_AmpD_protein
eco:b0111 ampE predicted_inner_membrane_protein;_K03807_AmpE_protein
eco:b0433 ampG muropeptide_transporter;_K08218_MFS_transporter,_PAT_family,_beta-lactamase_induction_signal_transducer_AmpG
eco:b0376 ampH D-alanyl-D-alanine-carboxypeptidase/endopeptidase;_penicillin-binding_protein;_weak_beta-lactamase_(EC:3.4.17.8_3.5.2.6)
eco:b1927 amyA cytoplasmic_alpha-amylase_(EC:3.2.1.1);_K01176_alpha-amylase_[EC:3.2.1.1]
eco:b1640 anmK anhydro-N-acetylmuramic_acid_kinase;_K09001_anhydro-N-acetylmuramic_acid_kinase_[EC:2.7.1.170]
eco:b1640 anmK anhydro-N-acetylmuramic_acid_kinase;_K09001_anhydro-N-acetylmuramic_acid_kinase_[EC:2.7.1.170]
eco:b2957 ansB periplasmic_L-asparaginase_II_(EC:3.5.1.1);_K01424_L-asparaginase_[EC:3.5.1.1]
eco:b0050 apaG protein_associated_with_Co2+_and_Mg2+_efflux;_K06195_ApaG_protein
eco:b0049 apaH diadenosine_tetraphosphatase_(EC:3.6.1.41);_K01525_bis(5'-nucleosyl)-tetraphosphatase_(symmetrical)_[EC:3.6.1.41]
eco:b0049 apaH diadenosine_tetraphosphatase_(EC:3.6.1.41);_K01525_bis(5'-nucleosyl)-tetraphosphatase_(symmetrical)_[EC:3.6.1.41]
eco:b0049 apaH diadenosine_tetraphosphatase_(EC:3.6.1.41);_K01525_bis(5'-nucleosyl)-tetraphosphatase_(symmetrical)_[EC:3.6.1.41]
eco:b2214 apbE putative_flavin_transferase,_lipoprotein_required_for_thiamine_synthesis;_K03734_thiamine_biosynthesis_lipoprotein
eco:b4055 aphA acid_phosphatase/phosphotransferase,_class_B,_non-specific_(EC:3.1.3.2);_K03788_acid_phosphatase_(class_B)_[EC:3.1.3.2]
eco:b0980 appA phosphoanhydride_phosphorylase_(EC:3.1.3.2_3.1.3.26);_K01093_4-phytase_/_acid_phosphatase_[EC:3.1.3.26_3.1.3.2]
eco:b0979 appB cytochrome_bd-II_oxidase,_subunit_II_(EC:1.10.3.-);_K00426_cytochrome_d_ubiquinol_oxidase_subunit_II_[EC:1.10.3.-]
eco:b0978 appC cytochrome_bd-II_oxidase,_subunit_I_(EC:1.10.3.-);_K00425_cytochrome_d_ubiquinol_oxidase_subunit_I_[EC:1.10.3.-]
eco:b0978 appC cytochrome_bd-II_oxidase,_subunit_I_(EC:1.10.3.-);_K00425_cytochrome_d_ubiquinol_oxidase_subunit_I_[EC:1.10.3.-]
eco:b0564 appY DNA-binding_global_transcriptional_activator;_DLP12_prophage;_K07780_AraC_family_transcriptional_regulator,_transcriptional_regulator_required_for_anaerobic_and_stationary_phase_induction_of_genes
eco:b0875 aqpZ aquaporin_Z;_K06188_aquaporin_Z
eco:b0062 araA L-arabinose_isomerase_(EC:5.3.1.4);_K01804_L-arabinose_isomerase_[EC:5.3.1.4]
eco:b0062 araA L-arabinose_isomerase_(EC:5.3.1.4);_K01804_L-arabinose_isomerase_[EC:5.3.1.4]
eco:b0064 araC DNA-binding_transcriptional_dual_regulator;_K02099_AraC_family_transcriptional_regulator,_arabinose_operon_regulatory_protein
eco:b0061 araD L-ribulose-5-phosphate_4-epimerase_(EC:5.1.3.4);_K01786_L-ribulose-5-phosphate_4-epimerase_[EC:5.1.3.4]
eco:b2841 araE arabinose_transporter;_K02100_MFS_transporter,_SP_family,_arabinose:H+_symporter
eco:b1901 araF L-arabinose_transporter_subunit;_K10537_L-arabinose_transport_system_substrate-binding_protein
eco:b4460 araH fused_L-arabinose_transporter_subunits_of_ABC_superfamily:_membrane_components;_K10538_L-arabinose_transport_system_permease_protein
eco:b0396 araJ arabinose-inducible_predicted_transporter,_MFS_family;_K08156_MFS_transporter,_DHA1_family,_arabinose_polymer_transporter
eco:b3210 arcB aerobic_respiration_control_sensor_histidine_protein_kinase,_cognate_to_two-component_response_regulators_ArcA_and_RssB;_K07648_two-component_system,_OmpR_family,_aerobic_respiration_control_sensor_histidine_kinase_ArcB_[EC:2.7.13.3]
eco:b3210 arcB aerobic_respiration_control_sensor_histidine_protein_kinase,_cognate_to_two-component_response_regulators_ArcA_and_RssB;_K07648_two-component_system,_OmpR_family,_aerobic_respiration_control_sensor_histidine_kinase_ArcB_[EC:2.7.13.3]
eco:b4450 arcZ sRNA_positive_antisense_regulator_of_rpoS;_binds_Hfq
eco:b2818 argA fused_acetylglutamate_kinase_homolog_(inactive)/amino_acid_N-acetyltransferase_(EC:2.3.1.1);_K14682_amino-acid_N-acetyltransferase_[EC:2.3.1.1]
eco:b3959 argB acetylglutamate_kinase_(EC:2.7.2.8);_K00930_acetylglutamate_kinase_[EC:2.7.2.8]
eco:b3958 argC N-acetyl-gamma-glutamylphosphate_reductase,_NAD(P)-binding_(EC:1.2.1.38);_K00145_N-acetyl-gamma-glutamyl-phosphate_reductase_[EC:1.2.1.38]
eco:b3359 argD bifunctional_acetylornithine_aminotransferase/succinyldiaminopimelate_aminotransferase_(EC:2.6.1.11_2.6.1.17);_K00821_acetylornithine/N-succinyldiaminopimelate_aminotransferase_[EC:2.6.1.11_2.6.1.17]
eco:b0273 argF ornithine_carbamoyltransferase_2,_chain_F;_CP4-6_prophage_(EC:2.1.3.3);_K00611_ornithine_carbamoyltransferase_[EC:2.1.3.3]
eco:b0273 argF ornithine_carbamoyltransferase_2,_chain_F;_CP4-6_prophage_(EC:2.1.3.3);_K00611_ornithine_carbamoyltransferase_[EC:2.1.3.3]
eco:b3172 argG argininosuccinate_synthetase_(EC:6.3.4.5);_K01940_argininosuccinate_synthase_[EC:6.3.4.5]
eco:b3960 argH argininosuccinate_lyase_(EC:4.3.2.1);_K01755_argininosuccinate_lyase_[EC:4.3.2.1]
eco:b2918 argK membrane_ATPase/protein_kinase;_K07588_LAO/AO_transport_system_kinase_[EC:2.7.-.-]
eco:b2916 argP DNA-binding_transcriptional_activator,_replication_initiation_inhibitor;_K05596_LysR_family_transcriptional_regulator,_chromosome_initiation_inhibitor
eco:b2691 argQ tRNA-Arg;_K14219_tRNA_Arg
eco:b3237 argR DNA-binding_transcriptional_dual_regulator,_L-arginine-binding;_K03402_transcriptional_regulator_of_arginine_metabolism
eco:b1876 argS arginyl-tRNA_synthetase_(EC:6.1.1.19);_K01887_arginyl-tRNA_synthetase_[EC:6.1.1.19]
eco:b2310 argT lysine/arginine/ornithine_transporter_subunit;_K10013_lysine/arginine/ornithine_transport_system_substrate-binding_protein
eco:b0536 argU tRNA-Arg;_K14219_tRNA_Arg
eco:b2694 argV tRNA-Arg;_K14219_tRNA_Arg
eco:b2348 argW tRNA-Arg;_K14219_tRNA_Arg
eco:b3796 argX tRNA-Arg;_K14219_tRNA_Arg
eco:b2693 argY tRNA-Arg;_K14219_tRNA_Arg
eco:b2692 argZ tRNA-Arg;_K14219_tRNA_Arg
eco:b1166 ariR RcsB_connector_protein_for_regulation_of_biofilm_and_acid-resistance
eco:b2255 arnA fused_UDP-L-Ara4N_formyltransferase/UDP-GlcA_C-4'-decarboxylase_(EC:2.1.2.-_4.1.1.35);_K10011_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase_/_UDP-glucuronic_acid_dehydrogenase_(UDP-4-keto-hexauronic_acid_decarboxylating)_[EC:2.1.2.13_1.1.1.305]
eco:b2255 arnA fused_UDP-L-Ara4N_formyltransferase/UDP-GlcA_C-4'-decarboxylase_(EC:2.1.2.-_4.1.1.35);_K10011_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase_/_UDP-glucuronic_acid_dehydrogenase_(UDP-4-keto-hexauronic_acid_decarboxylating)_[EC:2.1.2.13_1.1.1.305]
eco:b2253 arnB uridine_5'-(beta-1-threo-pentapyranosyl-4-ulose_diphosphate)_aminotransferase,_PLP-dependent;_K07806_UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate_aminotransferase_[EC:2.6.1.87]
eco:b2254 arnC undecaprenyl_phosphate-L-Ara4FN_transferase;_K10012_undecaprenyl-phosphate_4-deoxy-4-formamido-L-arabinose_transferase_[EC:2.4.2.53]
eco:b2254 arnC undecaprenyl_phosphate-L-Ara4FN_transferase;_K10012_undecaprenyl-phosphate_4-deoxy-4-formamido-L-arabinose_transferase_[EC:2.4.2.53]
eco:b2256 arnD undecaprenyl_phosphate-alpha-L-ara4FN_deformylase;_K13014_undecaprenyl_phosphate-alpha-L-ara4FN_deformylase_[EC:3.5.-.-]
eco:b2258 arnF undecaprenyl_phosphate-alpha-L-ara4N_exporter;_flippase_ArnEF_subunit;_K12963_undecaprenyl_phosphate-alpha-L-ara4N_flippase_subunit_ArnF
eco:b2257 arnT 4-amino-4-deoxy-L-arabinose_transferase;_K07264_4-amino-4-deoxy-L-arabinose_transferase_[EC:2.4.2.43]
eco:b0908 aroA 5-enolpyruvylshikimate-3-phosphate_synthetase_(EC:2.5.1.19);_K00800_3-phosphoshikimate_1-carboxyvinyltransferase_[EC:2.5.1.19]
eco:b3389 aroB 3-dehydroquinate_synthase_(EC:4.2.3.4);_K01735_3-dehydroquinate_synthase_[EC:4.2.3.4]
eco:b2329 aroC chorismate_synthase_(EC:4.2.3.5);_K01736_chorismate_synthase_[EC:4.2.3.5]
eco:b1693 aroD 3-dehydroquinate_dehydratase_(EC:4.2.1.10);_K03785_3-dehydroquinate_dehydratase_I_[EC:4.2.1.10]
eco:b3281 aroE dehydroshikimate_reductase,_NAD(P)-binding_(EC:1.1.1.25);_K00014_shikimate_dehydrogenase_[EC:1.1.1.25]
eco:b0754 aroG 3-deoxy-D-arabino-heptulosonate-7-phosphate_synthase,_phenylalanine_repressible_(EC:2.5.1.54);_K01626_3-deoxy-7-phosphoheptulonate_synthase_[EC:2.5.1.54]
eco:b1704 aroH 3-deoxy-D-arabino-heptulosonate-7-phosphate_synthase,_tryptophan_repressible_(EC:2.5.1.54);_K01626_3-deoxy-7-phosphoheptulonate_synthase_[EC:2.5.1.54]
eco:b3390 aroK shikimate_kinase_I_(EC:2.7.1.71);_K00891_shikimate_kinase_[EC:2.7.1.71]
eco:b0388 aroL shikimate_kinase_II_(EC:2.7.1.71);_K00891_shikimate_kinase_[EC:2.7.1.71]
eco:b0112 aroP aromatic_amino_acid_transporter;_K11734_aromatic_amino_acid_transport_protein_AroP
eco:b0112 aroP aromatic_amino_acid_transporter;_K11734_aromatic_amino_acid_transport_protein_AroP
eco:b4017 arpA ankyrin_repeat_protein;_K06867
eco:b4494 arpB pseudogene
eco:b3502 arsB arsenite/antimonite_transporter;_K03893_arsenical_pump_membrane_protein
eco:b3501 arsR DNA-binding_transcriptional_repressor;_K03892_ArsR_family_transcriptional_regulator
eco:b0860 artJ arginine_binding_protein,_periplasmic;_K09996_arginine_transport_system_substrate-binding_protein
eco:b0860 artJ arginine_binding_protein,_periplasmic;_K09996_arginine_transport_system_substrate-binding_protein
eco:b0861 artM arginine_transporter_subunit;_K09998_arginine_transport_system_permease_protein
eco:b0864 artP arginine_transporter_subunit;_K10000_arginine_transport_system_ATP-binding_protein_[EC:3.6.3.-]
eco:b0862 artQ arginine_transporter_subunit;_K09999_arginine_transport_system_permease_protein
eco:b2716 ascB cryptic_6-phospho-beta-glucosidase_(EC:3.2.1.86);_K01223_6-phospho-beta-glucosidase_[EC:3.2.1.86]
eco:b2715 ascF fused_cellobiose/arbutin/salicin-specific_PTS_enzymes:_IIB_component/IC_component_(EC:2.7.1.69);_K02752_PTS_system,_arbutin-,_cellobiose-,_and_salicin-specific_IIB_component_[EC:2.7.1.69]_K02753_PTS_system,_arbutin-,_cellobiose-,_and_salicin-specific_IIC_component
eco:b2714 ascG DNA-binding_transcriptional_repressor;_K03487_LacI_family_transcriptional_regulator,_asc_operon_repressor
eco:b3801 aslA acrylsulfatase-like_enzyme_(EC:3.1.6.1);_K01130_arylsulfatase_[EC:3.1.6.1]
eco:b3800 aslB predicted_regulator_of_arylsulfatase_activity;_K06871_uncharacterized_protein
eco:b2064 asmA predicted_assembly_protein;_K07289_AsmA_protein
eco:b0674 asnB asparagine_synthetase_B_(EC:6.3.5.4);_K01953_asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]
eco:b0674 asnB asparagine_synthetase_B_(EC:6.3.5.4);_K01953_asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]
eco:b3743 asnC DNA-binding_transcriptional_dual_regulator;_K03718_Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnC_and_gidA
eco:b0930 asnS asparaginyl_tRNA_synthetase_(EC:6.1.1.22);_K01893_asparaginyl-tRNA_synthetase_[EC:6.1.1.22]
eco:b1977 asnT tRNA-Asn;_K14220_tRNA_Asn
eco:b1986 asnU tRNA-Asn;_K14220_tRNA_Asn
eco:b1989 asnV tRNA-Asn;_K14220_tRNA_Asn
eco:b1984 asnW tRNA-Asn;_K14220_tRNA_Asn
eco:b0928 aspC aspartate_aminotransferase,_PLP-dependent_(EC:2.6.1.1);_K00813_aspartate_aminotransferase_[EC:2.6.1.1]
eco:b1866 aspS aspartyl-tRNA_synthetase_(EC:6.1.1.12);_K01876_aspartyl-tRNA_synthetase_[EC:6.1.1.12]
eco:b3760 aspT tRNA-Asp;_K14221_tRNA_Asp
eco:b0206 aspU tRNA-Asp;_K14221_tRNA_Asp
eco:b0216 aspV tRNA-Asp;_K14221_tRNA_Asp
eco:b1597 asr acid_shock-inducible_periplasmic_protein
eco:b1747 astA arginine_succinyltransferase_(EC:2.3.1.109);_K00673_arginine_N-succinyltransferase_[EC:2.3.1.109]
eco:b1745 astB succinylarginine_dihydrolase_(EC:3.5.3.-);_K01484_succinylarginine_dihydrolase_[EC:3.5.3.23]
eco:b1748 astC succinylornithine_transaminase,_PLP-dependent_(EC:2.6.1.11_2.6.1.17);_K00840_succinylornithine_aminotransferase_[EC:2.6.1.81]
eco:b1746 astD succinylglutamic_semialdehyde_dehydrogenase_(EC:1.2.1.-);_K06447_succinylglutamic_semialdehyde_dehydrogenase_[EC:1.2.1.71]
eco:b1744 astE succinylglutamate_desuccinylase_(EC:3.5.1.-);_K05526_succinylglutamate_desuccinylase_[EC:3.5.1.96]
eco:b2222 atoA acetyl-CoA:acetoacetyl-CoA_transferase,_beta_subunit_(EC:2.8.3.8);_K01035_acetate_CoA/acetoacetate_CoA-transferase_beta_subunit_[EC:2.8.3.8_2.8.3.9]
eco:b2224 atoB acetyl-CoA_acetyltransferase_(EC:2.3.1.9);_K00626_acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
eco:b2221 atoD acetyl-CoA:acetoacetyl-CoA_transferase,_alpha_subunit_(EC:2.8.3.8);_K01034_acetate_CoA/acetoacetate_CoA-transferase_alpha_subunit_[EC:2.8.3.8_2.8.3.9]
eco:b2223 atoE short_chain_fatty_acid_transporter;_K02106_short-chain_fatty_acids_transporter
eco:b2219 atoS sensory_histidine_kinase_in_two-component_regulatory_system_with_AtoC;_K07710_two-component_system,_NtrC_family,_sensor_histidine_kinase_AtoS_[EC:2.7.13.3]
eco:b3738 atpB F0_sector_of_membrane-bound_ATP_synthase,_subunit_a_(EC:3.6.3.14);_K02108_F-type_H+-transporting_ATPase_subunit_a_[EC:3.6.3.14]
eco:b3731 atpC F1_sector_of_membrane-bound_ATP_synthase,_epsilon_subunit_(EC:3.6.3.14);_K02114_F-type_H+-transporting_ATPase_subunit_epsilon_[EC:3.6.3.14]
eco:b3732 atpD F1_sector_of_membrane-bound_ATP_synthase,_beta_subunit_(EC:3.6.3.14);_K02112_F-type_H+-transporting_ATPase_subunit_beta_[EC:3.6.3.14]
eco:b3737 atpE F0_sector_of_membrane-bound_ATP_synthase,_subunit_c_(EC:3.6.3.14);_K02110_F-type_H+-transporting_ATPase_subunit_c_[EC:3.6.3.14]
eco:b3736 atpF F0_sector_of_membrane-bound_ATP_synthase,_subunit_b_(EC:3.6.3.14);_K02109_F-type_H+-transporting_ATPase_subunit_b_[EC:3.6.3.14]
eco:b3733 atpG F1_sector_of_membrane-bound_ATP_synthase,_gamma_subunit_(EC:3.6.3.14);_K02115_F-type_H+-transporting_ATPase_subunit_gamma_[EC:3.6.3.14]
eco:b3735 atpH F1_sector_of_membrane-bound_ATP_synthase,_delta_subunit_(EC:3.6.3.14);_K02113_F-type_H+-transporting_ATPase_subunit_delta_[EC:3.6.3.14]
eco:b3739 atpI ATP_synthase,_membrane-bound_accessory_factor_(EC:3.6.3.14);_K02116_ATP_synthase_protein_I
eco:b3572 avtA valine-pyruvate_aminotransferase_1_(EC:2.6.1.66);_K00835_valine--pyruvate_aminotransferase_[EC:2.6.1.66]
eco:b1412 azoR NADH-azoreductase,_FMN-dependent_(EC:3.1.4.14);_K01118_FMN-dependent_NADH-azoreductase_[EC:1.7.-.-]
eco:b4663 azuC expressed_protein
eco:b3057 bacA undecaprenyl_pyrophosphate_phosphatase_(EC:3.6.1.27);_K06153_undecaprenyl-diphosphatase_[EC:3.6.1.27]
eco:b2078 baeS sensory_histidine_kinase_in_two-component_regulatory_system_with_BaeR;_K07642_two-component_system,_OmpR_family,_sensor_histidine_kinase_BaeS_[EC:2.7.13.3]
eco:b2078 baeS sensory_histidine_kinase_in_two-component_regulatory_system_with_BaeR;_K07642_two-component_system,_OmpR_family,_sensor_histidine_kinase_BaeS_[EC:2.7.13.3]
